MODEL YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL TYPE,FUEL CONSUMPTION CITY,FUEL CONSUMPTION HWY,FUEL CONSUMPTION COMB,FUEL CONSUMPTION COMB,CO2 EMISSIONS,CO2 RATING,SMOG RATING
2019,AUDI,TT RS COUPE,SUBCOMPACT,2.5,5,AM7,Z,12,8.3,10.3,27,241,5,3
2019,AUDI,TTS COUPE,SUBCOMPACT,2,4,AM7,Z,10.4,8.2,9.4,30,220,5,3
2019,BENTLEY,BENTAYGA,SUV - STANDARD,4,8,AS8,Z,16.4,10.1,13.6,21,315,3,3
2019,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,24.5,14.4,20,14,465,1,1
2019,BMW,230i xDRIVE CABRIOLET,SUBCOMPACT,2,4,AS8,Z,10.2,7.2,8.8,32,207,6,7
2019,BMW,230i xDRIVE COUPE,SUBCOMPACT,2,4,AS8,Z,9.9,7.1,8.6,33,202,6,7
2019,BMW,330i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,AS8,Z,10.2,7.2,8.8,32,207,6,7
2019,BMW,330i xDRIVE TOURING,STATION WAGON - SMALL,2,4,AS8,Z,10.2,7.2,8.8,32,207,6,7
2019,BMW,430i xDRIVE CABRIOLET,SUBCOMPACT,2,4,AS8,Z,10.6,7.3,9.1,31,213,5,7
2019,BMW,430i xDRIVE COUPE,COMPACT,2,4,AS8,Z,10.2,7.2,8.8,32,207,6,7
2019,BMW,430i xDRIVE GRAN COUPE,COMPACT,2,4,AS8,Z,10.2,7.2,8.8,32,207,6,7
2019,BMW,440i COUPE,COMPACT,3,6,AS8,Z,11.2,7.3,9.4,30,227,5,3
2019,BMW,440i COUPE,COMPACT,3,6,M6,Z,12.8,8.8,11,26,256,4,3
2019,BMW,440i xDRIVE CABRIOLET,SUBCOMPACT,3,6,AS8,Z,11.8,7.9,10,28,235,5,3
2019,BMW,440i xDRIVE COUPE,COMPACT,3,6,AS8,Z,11.4,7.6,9.7,29,228,5,3
2019,BMW,440i xDRIVE COUPE,COMPACT,3,6,M6,Z,13,8.5,11,26,256,4,3
2019,BMW,440i xDRIVE GRAN COUPE,COMPACT,3,6,AS8,Z,11.4,7.6,9.7,29,228,5,3
2019,BMW,530i xDRIVE,MID-SIZE,2,4,AS8,Z,10.2,7.2,8.8,32,207,6,7
2019,BMW,540i xDRIVE,MID-SIZE,3,6,AS8,Z,11.2,8.1,9.8,29,231,5,5
2019,BMW,640i xDRIVE GRAN COUPE,COMPACT,3,6,AS8,Z,12.3,8.4,10.5,27,248,4,3
2019,BMW,640i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,AS8,Z,11.9,8.4,10.3,27,241,5,5
2019,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,14,9.6,12,24,282,4,3
2019,BMW,750i xDRIVE,FULL-SIZE,4.4,8,AS8,Z,13.3,9.2,11.5,25,269,4,3
2019,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,AS8,Z,14,9.6,12,24,282,4,3
2019,BMW,ALPINA B6 xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,14,9.6,12,24,282,4,3
2019,BMW,ALPINA B7 xDRIVE,FULL-SIZE,4.4,8,AS8,Z,14,9.6,12,24,282,4,3
2019,BMW,M2 COMPETITION,SUBCOMPACT,3,6,AM7,Z,14.3,10.4,12.6,22,294,3,3
2019,BMW,M2 COMPETITION,SUBCOMPACT,3,6,M6,Z,13.4,9.6,11.7,24,273,4,3
2019,BMW,M240i CABRIOLET,SUBCOMPACT,3,6,AS8,Z,11.2,7.8,9.7,29,227,5,3
2019,BMW,M240i CABRIOLET,SUBCOMPACT,3,6,M6,Z,12.8,8.8,11,26,256,4,3
2019,BMW,M240i COUPE,SUBCOMPACT,3,6,AS8,Z,11.2,7.8,9.7,29,227,5,3
2019,BMW,M240i COUPE,SUBCOMPACT,3,6,M6,Z,12.8,8.8,11,26,256,4,3
2019,BMW,M240i COUPE M PERFORMANCE,SUBCOMPACT,3,6,AS8,Z,11.2,7.8,9.7,29,227,5,3
2019,BMW,M240i COUPE M PERFORMANCE,SUBCOMPACT,3,6,M6,Z,12.8,8.8,11,26,256,4,3
2019,BMW,M240i xDRIVE CABRIOLET,SUBCOMPACT,3,6,AS8,Z,11.3,8,9.8,29,229,5,3
2019,BMW,M240i xDRIVE COUPE,SUBCOMPACT,3,6,AS8,Z,11.3,8,9.8,29,229,5,3
2019,BMW,M240i xDRIVE COUPE M PERFORMANCE,SUBCOMPACT,3,6,AS8,Z,11.3,8,9.8,29,229,5,3
2019,BMW,M4 CABRIOLET,SUBCOMPACT,3,6,AM7,Z,14.5,10.5,12.7,22,299,3,3
2019,BMW,M4 CABRIOLET,SUBCOMPACT,3,6,M6,Z,13.8,9.4,11.9,24,280,4,3
2019,BMW,M4 CABRIOLET COMPETITION,SUBCOMPACT,3,6,AM7,Z,14.5,10.5,12.7,22,299,3,3
2019,BMW,M4 CABRIOLET COMPETITION,SUBCOMPACT,3,6,M6,Z,13.8,9.4,11.9,24,280,4,3
2019,BMW,M4 COUPE,COMPACT,3,6,AM7,Z,14.3,10.4,12.6,22,294,3,3
2019,BMW,M4 COUPE,COMPACT,3,6,M6,Z,13.4,9.6,11.7,24,273,4,3
2019,BMW,M4 COUPE COMPETITION,COMPACT,3,6,AM7,Z,14.3,10.4,12.6,22,294,3,3
2019,BMW,M4 COUPE COMPETITION,COMPACT,3,6,M6,Z,13.4,9.6,11.7,24,273,4,3
2019,BMW,M4 CS,COMPACT,3,6,AM7,Z,14.3,10.4,12.6,22,294,3,3
2019,BMW,M5,MID-SIZE,4.4,8,AS8,Z,16,11.2,13.9,20,324,3,3
2019,BMW,M5 COMPETITION,MID-SIZE,4.4,8,AS8,Z,16,11.2,13.9,20,324,3,3
2019,BMW,M550i xDRIVE,MID-SIZE,4.4,8,AS8,Z,13.3,9.2,11.5,25,269,4,3
2019,BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.6,14.7,19,344,2,1
2019,BMW,M760Li xDRIVE,FULL-SIZE,6.6,12,AS8,Z,17.7,11.9,15.1,19,355,2,3
2019,BMW,M850i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,AS8,Z,13.5,9.2,11.6,24,270,4,3
2019,BMW,M850i xDRIVE COUPE,SUBCOMPACT,4.4,8,AS8,Z,13.3,9.2,11.5,25,269,4,3
2019,BMW,X1 xDRIVE28i,SUV - SMALL,2,4,AS8,Z,10.7,7.5,9.3,30,217,5,7
2019,BMW,X2 xDRIVE28i,SUV - SMALL,2,4,AS8,Z,11,7.7,9.5,30,222,5,7
2019,BMW,X3 xDRIVE30i,SUV - SMALL,2,4,AS8,Z,10.8,8,9.6,29,223,5,7
2019,BMW,X3 M40i,SUV - SMALL,3,6,AS8,Z,11.9,8.7,10.4,27,245,5,5
2019,BMW,X4 xDRIVE30i,SUV - SMALL,2,4,AS8,Z,10.8,8,9.6,29,223,5,7
2019,BMW,X4 M40i,SUV - SMALL,3,6,AS8,Z,11.9,8.7,10.4,27,245,5,5
2019,BMW,X5 xDRIVE40i,SUV - STANDARD,3,6,AS8,Z,11.7,9.1,10.5,27,245,5,3
2019,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,15.3,11.1,13.4,21,314,3,3
2019,BMW,X6 xDRIVE35i,SUV - STANDARD,3,6,AS8,Z,13,9.9,11.6,24,272,4,3
2019,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,14.3,10.6,12.6,22,294,3,3
2019,BMW,X6 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,341,2,3
2019,BMW,X7 xDRIVE40i,SUV - STANDARD,3,6,AS8,Z,12,9.4,10.8,26,254,4,3
2019,BMW,X7 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,14.3,10.6,12.6,22,294,3,3
2019,BUGATTI,CHIRON,TWO-SEATER,8,16,AM7,Z,26.8,16.6,22.2,13,522,1,1
2019,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A9,X,13,9.1,11.2,25,263,4,6
2019,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A9,X,13.8,9.5,11.9,24,278,4,6
2019,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.4,7.8,8.7,32,204,6,5
2019,BUICK,ENCORE (SIDI with Stop/Start),SUV - SMALL,1.4,4,AS6,X,8.9,7.5,8.3,34,194,6,3
